category,name,detail,address,lat,lng
โรงงานอาหารและเครื่องดื่ม,บริษัท ทอรีการ จำกัด,ผลิตอาหารทะเลแปรรูปตากแห้ง,"เลขที่ 89/50 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.67068, 100.32781
อื่นๆ,ที.โอ.พัฒนา,ทำยางรัดของ,"เลขที่ โฉนดที่ดินเลขที่ 148796 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4911405, 100.1323764
อื่นๆ,บริษัท สยามอิมแพ็ค จำกัด,ผลิตบรรจุภัณฑ์จากกอลูมิเนียม เช่น หลอดกาว หลอดยานวด หลอดครีมย้อมสีผม,"เลขที่ 89/13 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.50606, 100.13711
"โรงงานไม้,บริษัท ไทย ควอตซ์ สโตน จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น เช่น ควอตซ์ 
,""เลขที่ 54/55 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร"",13.4933648, 100.118746"
โรงงานอาหารสัตว์,บริษัท สยามอินเตอร์เนชั่นแนล อะกรีคัลเจอร์ จำกัด,ผลิตอาหารสัตว์,"เลขที่ 89/79-80 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.495375, 100.141142
อื่นๆ,บริษัท ไทย คอปเปอร์ เมทัล อิเล็กโทรลิซิส จำกัด,บดย่อยสายไฟใช้แล้ว ถอดแยกมอเตอร์ไฟฟ้าเก่า,"เลขที่ 88/8-9 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.4956098, 100.1086655
อื่นๆ,บริษัท ลอนดอน อินดัสเทรียล จำกัด,รีดเหล็กรูปพรรณรีดเย็นทุกชนิด,"เลขที่ 51/43 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5007525, 100.1217541
โรงงานประกอบชิ้นส่วน,บริษัท เด่นชัย-ที.ยู.ดี จำกัด,หลอมหล่อโลหะเพื่อทำปั๊มน้ำ วาล์วน้ำและอุปกรณ์,"เลขที่ โฉนดที่ดินเลขที่ 139114 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5007993, 100.1233509
อื่นๆ,บริษัท ทัชวรา อินดัสเทรียล ออโต้ เท็ค (2007) จำกัด,ปั๊มโลหะทั่วไป,"เลขที่ 89/42 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.50264,100.13777
โรงงานประกอบชิ้นส่วน,นางปราณี พรสุวรรณกุล,ทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะจากการปั๊ม กลึง กัด ไส และเชื่อมโลหะ เช่น แหวนทองแดง ปะเก็น ฯลฯ,"เลขที่ โฉนดที่ดินเลขที่ 9858 ตำบล โรงเข้ อำเภอ บ้านแพ้ว สมุทรสาคร",13.505,100.0479
อื่นๆ,บริษัท พวพัฒน์ เอ็นจิเนียริ่ง จำกัด,การกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,"เลขที่ 19/2 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.505952, 100.146994
อื่นๆ,บริษัท สยาม สตีล 2009 จำกัด,รีดท่อเหล็กดำ รีดท่อเหล็กสังกะสี รีดเหล็กตัวซีดำ และรีดสังกะสีตัวซี,"เลขที่ 51/34 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5070992, 100.1237879
โรงงานอาหารและเครื่องดื่ม,บริษัท ศาลา สมุทรสาคร จำกัด,ผลิตผักและผลไม้แปรรูปทุกชนิด และผลิตอาหารเกี่ยวกับมะพร้าว กะทิกระป๋อง กะทิบรรจุกล่อง UHT กะทิอบแห้งและผง น้ำมะพร้าว,"เลขที่ 11/13 ตำบล บ้านบ่อ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5077616, 100.1780375
อื่นๆ,บริษัท ไทย เมลามีนแวร์ อินดัสเทรียล จำกัด,ผลิตเครื่องมือ เครื่องใช้ในครัวเรือน เช่น ถ้วย จาน ช้อน ถาด  แก้วน้ำ เป็นต้น,"เลขที่ 59/4 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5082314, 100.2365659
โรงงานกระดาษอื่นๆ,บริษัท ฮัวไท่ เเรพเพอร์ เทคโนโลยี (ประเทศไทย) จำกัด,ทำภาชนะจากกระดาษ,"เลขที่ 192 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.509251, 100.2498763
โรงงานสารเคมี,บริษัท เคมเวิร์ค จำกัด,การเก็บรักษา ลำเลียง แยก คัดเลือก แบ่งบรรจุสารเคมี,"เลขที่ 78/9 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5095238, 100.2428634
อื่นๆ,บริษัท เหิง ไท่ อุตสาหกรรม จำกัด,ผลิตน้ำยาผสมคอนกรีต,"เลขที่ 153617 ตามโฉนดที่ดิน ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5104151, 100.2424777
โรงงานห้องเย็นและชำแหละ,บริษัท จิ่วเหอไทย จำกัด,ห้องเย็น,"เลขที่ โฉนดที่ดินเลขที่ 142854 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.511526,100.240824
โรงงานสารเคมี,บริษัท เอเอ็มซี อินเตอร์เนชั่นแนลกรุ๊ป (ประเทศไทย) จำกัด,ทำเคมีภัณฑ์ หรือวัสดุเคมี เก็บรักษา คัดเลือก แบ่งบรรจุสารเคมี,"เลขที่ โฉนดที่ดิน 153618 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59888, 100.35381
โรงงานห้องเย็นและชำแหละ,บริษัท เฮียติ่ง ฟู้ดส์ จำกัด,ล้าง ชำแหละ แกะ สัตว์น้ำ และทำให้เยือกแข็งโดยฉับพลัน,"เลขที่ 89/10 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.55732, 100.28708
โรงงานห้องเย็นและชำแหละ,บริษัท คอมมอลเวลธ์ แฟคตอรี่ จำกัด,แปรรูปอาหารจากสัตว์น้ำและบรรจุในภาชนะปิดผนึกอากาศเข้าไม่ได้ และห้องเย็นแช่แข็ง,"เลขที่ 24/458 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.52244, 100.29429
อื่นๆ,บริษัท ศูนย์วิจัยและพัฒนาอาหาร ซีพีเอฟ จำกัด,ผลิตเครื่องแพทย์ เช่น ผลิตน้ำยาที่ใช้ตรวจในห้องปฏิบัติการ,"เลขที่ 82/12-14 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.51778, 100.16026
โรงงานรีไซเคิล,บริษัท วิธ บีเอ็นไอ จำกัด,นำขยะชุมชนมาคัดแยกเพื่อผลิตเป็นปุ๋ยอินทรีย์ เม็ดพลาสติก เศษพลาสติกอัดก้อน เศษโลหะอัดก้อน เศษกระดาษ เศษแก้ว,"เลขที่ 33/33 ตำบล ชัยมงคล อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5125726, 100.2957658
โรงงานอาหารและเครื่องดื่ม,บริษัท ซีพีเอฟ ฟู้ด แอนด์ เบฟเวอร์เรจ จำกัด,การทำอาหารจากผัก พืชหรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้ การผลิตอาหารจากเมล็ดพืชหรือหัวพืช,"เลขที่ 82/15 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.512959,100.158482
อื่นๆ,บริษัท สยาม เฮอเบิล เทค จำกัด,ผลิตสารสกัดจากสมุนไพรและยาสำเร็จรูปจากสมุนไพร,"เลขที่ 288/8 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5132654, 100.2436202
อื่นๆ,บริษัท ดีโอเค สกิน จำกัด,ผลิตเครื่องสำอางค์, สเปรย์, นำ้ยา และเจลฆ่าเชื้อโรค,"เลขที่ 288/4 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5132863, 100.2437017
อื่นๆ,บริษัท สมุทรสาคร เนเชอรัล คลีนเอนเนอร์จี จำกัด,ผลิตสารปรับปรุงดินด้วยวิธีการหมักปุ๋ยอินทรีย์,"เลขที่ 65/1 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5133053, 100.1283933
โรงงานผลิตเม็ดพลาสติก,บริษัท เค การช่าง รอกไฟฟ้า จำกัด,ผลิตเม็ดพลาสติก บดย่อย เเละล้างพลาสติก,"เลขที่ 88/9 ตำบล บางกระเจ้า อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5137484, 100.2024966
โรงงานพลาสติกอื่นๆ,บริษัท ทีทีเจ โกลบอลแพค จำกัด,ผลิตบรรจุภัณฑ์พลาสติก,"เลขที่ 78 ตำบล กาหลง อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5138713, 100.1828887
โรงงานพลาสติกอื่นๆ,บริษัท เหอ ซุ่น อุตสาหกรรม จำกัด,ฉีดขึ้นรูปชิ้นส่วนพลาสติก ซิลค์สกรีน เทคโนโลยีการผลิตแม่พิมพ์ซ่อมสีสเปย์,"เลขที่ 88/12 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.513897,100.243727
โรงงานสารเคมี,บริษัท ไท่ฮั๋ว อินเตอร์เนชั่นแนล จำกัด,ทำเคมีภัณฑ์ สารเคมี หรือวัสดุเคมี,"เลขที่ โฉนดที่ดินเลขที่ 172297 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.514517,100.255533
โรงงานอาหารและเครื่องดื่ม,บริษัท สุรีย์ อินเตอร์ฟู้ดส์ จำกัด,ผลิตเนื้อมะพร้าวขาว (โดยการนำมะพร้าวผลมาปอกเปลือกและทิวผิว),"เลขที่ 69 ตำบล บ้านบ่อ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5149033, 100.1789069
โรงงานอาหารและเครื่องดื่ม,บริษัท ร.มังกรโฟรเซ่นฟู๊ด จำกัด,ผลิตอาหารทะเลบรรจุกระป๋อง,"เลขที่ 102/159 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5159851, 100.295534
โรงงานพลาสติกอื่นๆ,บริษัท ออล แพ็ค จำกัด,การพิมพ์ฟิล์มพลาสติก การพิมพ์กระดาษ และตบแต่งสิ่งพิมพ์,"เลขที่ 9/2 ตำบล บางกระเจ้า อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5159871, 100.2385968
โรงงานอาหารและเครื่องดื่ม,นางณัฐพินันทน์ แก้วสังข์วาลย์,ทำลูกชิ้นปลา,"เลขที่ 111/21 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5164,100.2890167
โรงงานอาหารและเครื่องดื่ม,บริษัท เจดีฟู้ด จำกัด (มหาชน),โรงงานผลิตอาหารโดยการอบผลผลิตจากพืช , ผลิตเครื่องปรุงรส,"เลขที่ 116,116/1,116/2 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5165282, 100.1436569
โรงงานห้องเย็นและชำแหละ,บริษัท สยามวารี ห้องเย็น จำกัด,โรงงานห้องเย็น,"เลขที่ 24/5 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5166788, 100.278479
โรงงานอาหารและเครื่องดื่ม,บริษัท ซีอิ๊วสมบูรณ์ จำกัด,ผลิตเครื่องปรุงกลิ่น รส หรือสีของอาหาร,"เลขที่ 68/1 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.516937, 100.1304212
โรงงานประกอบชิ้นส่วน,บริษัท นิสโต้ รับเบอร์ แมนูแฟคเจอริ่ง จำกัด,ทำชิ้นส่วนอะไหล่รถยนต์ เช่น ลูกหมากปีกนก ยางรองแท่นเครื่อง ยางรองเบ้าโช๊ค ยางรองกันกระแทก ลูกยางกันโคลง ลูกยางหูแหนบ,"เลขที่ โฉนดที่ดินเลขที่ 140092 ตำบล ท่าจีน อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5169795, 100.2427043
อื่นๆ,บริษัท เจ้าพระยาเครื่องเย็น จำกัด,ผลิตตู้แช่เย็น,"เลขที่ 15/56 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5172,100.1318
โรงงานกระดาษอื่นๆ,บริษัท ลีลาริศ แพคเกจจิ้ง จำกัด,ตัดแผ่นกระดาษ,"เลขที่ 15/25 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.51737,100.13118
โรงงานอาหารและเครื่องดื่ม,บริษัท ตั้งยิวเตียงอุตสาหกรรม จำกัด,ผลิตเครื่องดื่มเกลือแร่และผลิตกาแฟสำเร็จรูป,"เลขที่ 15/17 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5174966, 100.1312546
โรงงานห้องเย็นและชำแหละ,บริษัท หยู่ เซียน หยวน (ประเทศไทย) จำกัด,ผลิตมะพร้าว แช่แข็งส่งออก,"เลขที่ 15/23 ตำบล บางโทรัด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.518348, 100.131045
อื่นๆ,บริษัท เมก้า อินดัสทรี (ประเทศไทย) จำกัด,รีดอลูมิเนียม, ผลิตเส้นอลูมิเนียม,"เลขที่ 89/4 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5190852, 100.2379425
โรงงานอาหารและเครื่องดื่ม,บริษัท ที.เอ.ที.ไทย ฟู้ด จำกัด,ผลิตน้ำส้มสายชูหมัก และน้ำส้มสายชูเทียม,"เลขที่ 111/22 ตำบล ท่าจีน อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.519683, 100.2426655
โรงงานห้องเย็นและชำแหละ,บริษัท มหาชัยซีฟู๊ด โฮลดิ้ง จำกัด,ห้องเย็นรับฝาก,"เลขที่ 24/512 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5213442, 100.2958302
โรงงานกระดาษอื่นๆ,บริษัท จูน อัน เปเปอร์ อินดัสทรี จำกัด,ทำกล่องกระดาษ,"เลขที่ 88/88 ตำบล บ้านบ่อ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5233499, 100.1870259
โรงงานห้องเย็นและชำแหละ,บริษัท ขายดี ซีฟู้ดส์ จำกัด,ห้องเย็น ชำแหละ แกะ ล้าง สัตว์น้ำทุกชนิด,"เลขที่ 9/266 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5234108, 100.2799553
โรงงานห้องเย็นและชำแหละ,ห้างหุ้นส่วนจำกัด รุ่งโรจน์กิตติพัทธ์,ห้องเย็น,"เลขที่ โฉนดที่ดินเลขที่ 151996 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.523488,100.283516
โรงงานห้องเย็นและชำแหละ,บริษัท มะลิวัลย์ 2019 อินเตอร์ฟู้ดส์ จำกัด,แปรรูปเนื้อสัตว์และอาหารทะเล ห้องเย็น,"เลขที่ โฉนดที่ดินเลขที่ 168139 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.523641,100.285814
โรงงานอาหารและเครื่องดื่ม,บริษัท จุ่มโจร จำกัด,แปรรูปเนื้อสัตว์,"เลขที่ 4/313 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.523741, 100.283263
โรงงานห้องเย็นและชำแหละ,บริษัท ศิริคุณ ซีฟู้ดส์ จำกัด,ห้องเย็น,"เลขที่ 24/89 ตำบล บางหญ้าแพรก อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.52381, 100.2966341
อื่นๆ,บริษัท โอ อาร์ ซี พรีเมียร์ จำกัด,ผลิตคอนกรีตผสมเสร็จ,"เลขที่ โฉนดที่ดินเลขที่ 140629 ตำบล ชัยมงคล อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.523822,100.17612
