category,name,detail,address,lat,lng
อื่นๆ,บริษัท เอสทีที เฟอร์นิชชิ่ง จำกัด,ผลิตเครื่องใช้ที่เป็นพลาสติคทุกชนิด เช่น ลังพลาสติค เก้เก้าอี้ ถังน้ำ ตะกร้า กาละมัง กระติกน้ำ,"เลขที่ 32/4 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57238333,100.3490167
โรงงานอาหารและเครื่องดื่ม,บริษัท เวลล์-โกรว์ จำกัด,ทำเครื่องปรุงรส เช่น พริกไทยป่น กระเทียมเจียว ผักอบแห้ง และเครื่องปรุงรส บะหมี่ และวุ้นเส้นสำเร็จรูปบรรจุภาชนะโดยไม่มีการผลิต,"เลขที่ 99/25 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5733863, 100.3596824
โรงงานประกอบชิ้นส่วน,บริษัท นิว เวฟ ออโตเมชั่น จำกัด,ผลิตและประกอบ จำหน่าย ติดตั้ง เครื่องจักรประเภทระบบอัตโนมัติ เช่น หุ่นยนต์ สายพานลำเร็จแขนกล,"เลขที่ 39/3 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.573406, 100.2806819
โรงงานอาหารและเครื่องดื่ม,บริษัท พี เอ็ม เอส โปรดักส์ จำกัด,ผลิตยา และเวชภัณฑ์ทางการแพทย์ และผลิตภัณฑ์เสริมอาหาร,"เลขที่ 18/89 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57377,100.30184
โรงงานพลาสติกอื่นๆ,บริษัท อินโนโกร จำกัด,การทำภาชนะบรรจุ เช่น ถุงพลาสติก,"เลขที่ 46/94 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57138, 100.28158
อื่นๆ,บริษัท อีลี่โฟม จำกัด,ผลิตโฟม EPS เป็นรูปทรงต่างๆ เช่น โฟมรองแบบ โฟมแท่ง โฟมก้อน โฟมบรรจุภัณณ์ โฟมหมวกกันน๊อก,"เลขที่ 59/2 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.55518, 100.25887
โรงงานกระดาษอื่นๆ,ห้างหุ้นส่วนจำกัด โรงงานกล่องกระดาษเม้งซิน,ผลิตกล่องกระดาษ,"เลขที่ 98/11 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5739725, 100.3601319
โรงงานไม้,บริษัท จิ๋วติ่ง (ไทยแลนด์) จำกัด,ผลิตไม้อัด,"เลขที่ 212/3 ตำบล หลักสาม อำเภอ บ้านแพ้ว สมุทรสาคร",13.574078,100.103195
โรงงานอาหารและเครื่องดื่ม,บริษัท วงศ์ชัยเกษตร จำกัด,ผลิตอาหารสำเร็จรูปจากสัตว์น้ำ เช่น ไคโตซาน,"เลขที่ 99/9 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.574351, 100.351003
อื่นๆ,บริษัท จง ซิง อินดัสทรี้ จำกัด,หลอหล่อมโลหะ เช่น อลูมิเนียม ทองเหลือง ทองแดง ฯลฯ,"เลขที่ 52/5 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57496,100.247604
โรงงานประกอบชิ้นส่วน,บริษัท โอ เอ เซลส์ เซอร์วิส จำกัด,ประกอบ ทดสอบ ชุดเครื่องกำเนิดไฟฟ้า,"เลขที่ 34/10 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5755834, 100.3465423
โรงงานประกอบชิ้นส่วน,บริษัท เล่งเกียฉู่ ดิเวลลอปเมนท์ จำกัด,ซ่อมแซมส่วนประกอบของยานยนต์ เช่น ล้อรถยนต์,"เลขที่ 99/9 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57596,100.27311
อื่นๆ,แพล้นท์สมุทรสาคร 3,ผลิตคอนกรีตผสมเสร็จ,"เลขที่ โฉนดที่ดินเลขที่ 117001,3253 ตำบล ท่าจีน อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5760888, 100.3645637
โรงงานทอผ้า,บริษัท เอสบีรัตน์วสุนธราการทอ จำกัด,ถักผ้ายืด,"เลขที่ 99/8 ตำบล โคกขาม อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.55872, 100.21631
โรงงานห้องเย็นและชำแหละ,บริษัท หย่งซิน อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,ล้างและบรรจุเนื้อสัตว์ เช่น หมู, ปลาและโรงงานห้องเย็น,"เลขที่ 62/3 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5762804, 100.2223906
อื่นๆ,บริษัท ไทยรับเทค จำกัด,ผลิตยางแผ่นสังเคราะห์,"เลขที่ 52/3 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5766555, 100.248861
อื่นๆ,บริษัท สุข เทรดดิ้ง จำกัด,ผลิตและจำหน่ายเฟอร์นิเจอร์ เช่น โต๊ะ เก้าอี้ โซฟา,"เลขที่ 79/11 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5769665, 100.3574937
โรงงานกระดาษอื่นๆ,บริษัท เค.ซี.แอล.มาร์เก็ตติ้ง จำกัด,ผลิตบรรจุภัณฑ์จากกระดาษ เช่น ถ้วยกระดาษ,"เลขที่ 84/3 ตำบล โคกขาม อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5773055, 100.3371346
อื่นๆ,บริษัท วัฒนาพรสกรู (1991) จำกัด,ผลิตตะปูควง ตะปู สกรู นอต,"เลขที่ ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.57745,100.2854833
โรงงานรีไซเคิล,บริษัท ไมโครแมส เอ็นเนอร์จี จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 62 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5777488, 100.2207124
อื่นๆ,บริษัท พี เอส ดี คอนสตรัคชั่น 2011 จำกัด,ผลิตแอสฟัลติกคอนกรีต,"เลขที่ 62/1 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5777724, 100.3656284
โรงงานอาหารและเครื่องดื่ม,บริษัท ยูนิคอร์ด จำกัด (มหาชน),ผลิตอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,"เลขที่ โฉนดที่ดินเลขที่ 57188 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5780508, 100.275622
อื่นๆ,บริษัท นีโอ เอสเค. จำกัด,ผลิตเสาเข็มคอนกรีต,"เลขที่ โฉนดที่ดินเลขที่ 18186 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5784605, 100.3055454
โรงงานอาหารและเครื่องดื่ม,บริษัท สยามโอเชียน มารีน ฟู้ดส์ จำกัด,ตัดคัดล้างสัตว์น้ำ,"เลขที่ 48/43 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5786412, 100.3150206
อื่นๆ,บริษัท พลังงานพอเพียง จำกัด,โรงงานผลิตกระแสไฟฟ้า ขนาด 2.4 เมกกะวัตต์,"เลขที่ 6 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.81799, 100.17703
อื่นๆ,ห้างหุ้นส่วนจำกัด สมนึกธุรกิจ,ผลิตกระแสไฟฟ้า ขนาด 4.4 เมกะวัตต็,"เลขที่ 6 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61267, 100.28814
โรงงานอาหารและเครื่องดื่ม,บริษัท ซากุระ เบฟเวอเรจ จำกัด,การทำอาหาร เครื่องดื่ม จากผัก พืช และผลไม้ และบรรจุในภาชนะปิดผนึก,"เลขที่ โฉนดที่ดินเลขที่ 26379 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5796721, 100.2340945
โรงงานพลาสติกอื่นๆ,บริษัท ส.กนกพันธ์ จำกัด,ทำผลิตภัณฑ์พลาสติก เช่น ถังพลาสติก ตะกร้า ลัง กะละมัง ขัน,"เลขที่ 34/1 ตำบล หลักสาม อำเภอ บ้านแพ้ว สมุทรสาคร",13.61764, 100.13425
อื่นๆ,บริษัท วาสนา 111 มะพร้าวอ่อน จำกัด,กระเทาะเปลือกมะพร้าว,"เลขที่ 111/111 ตำบล หลักสาม อำเภอ บ้านแพ้ว สมุทรสาคร",13.48806, 99.97215
อื่นๆ,บริษัท เอส จอยท์ เมทัล จำกัด,หลอมโลหะ เช่น ทองแดง และอลูมิเนียม,"เลขที่ ตำบล ดอนไก่ดี อำเภอ กระทุ่มแบน สมุทรสาคร",13.5802481, 100.2478057
อื่นๆ,บริษัท เอเซียนแปซิฟิคแคน จำกัด,ผลิตกระป๋องเปล่าชนิดไร้ตะเข็บและมีตะเข็บ ผลิตฝากระป๋องธรรมดาและขนิดฝาเปิดง่ายทุกชนิดที่ทำจากแผ่นเหล็กและ/หรืออลูมิเนียม,"เลขที่ 38/172 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5803008, 100.2769016
อื่นๆ,บริษัท มหาชัย เมทัล จำกัด,แผ่นเหล็ก,"เลขที่ - ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58035,100.24745
โรงงานพลาสติกอื่นๆ,บริษัท เจิ้นหยง กรีน พลาสติก จำกัด,ผลิตผลิตภัณฑ์พลาสติก เช่น พลาสติกแผ่น,"เลขที่ 64/127 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5803523, 100.2473404
โรงงานห้องเย็นและชำแหละ,บริษัท มหาชัย มารีนฟู้ดส์ จำกัด,แปรรูปผลิตภัณฑ์สัตว์น้ำแช่แข็ง,"เลขที่ 82 ตำบล โคกขาม อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5805,100.3144667
อื่นๆ,บริษัท เอกโปลีเทค จำกัด,ผลิตภัณฑ์สเตนเลส เช่น เครื่องคัดขนาด โต๊ะ อ่างล้างมือ ภาชนะบรรจุและผลิตเครื่องจักรต่าง ๆ,"เลขที่ 99/5 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5812726, 100.2767086
โรงงานห้องเย็นและชำแหละ,บริษัท ภัทรชัย ฟู้ดส์ จำกัด,ชำแหละและบดโครงไก่ ทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์ เช่น สุนัขและแมว,"เลขที่ 39/9 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5815318, 100.2656357
โรงงานห้องเย็นและชำแหละ,บริษัท เซาท์อีสต์เอเซี่ยนแพคเกจจิ่งแอนด์แคนนิ่ง จำกัด,ห้องเย็นรับฝากสินค้า,"เลขที่ 1 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5815499, 100.2869296
โรงงานไม้,บริษัท ฮาร์มเลส ฮาร์เวสท์ (ไทยแลนด์) จำกัด,ผลิตเชื้อเพลิงชีวมวลโดยใช้เปลือกมะพร้าวและเศษไม้เป็นวัตถุดิบหลัก,"เลขที่ 100/3 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5817041, 100.2012438
โรงงานพลาสติกอื่นๆ,บริษัท ไท่หัวเหลียน อินเตอร์เนชั่นแนล จำกัด,ทำผลิตภัณฑ์พลาสติก เช่น เป็นพลาสติกเกรดบี,"เลขที่ 84/26 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61114, 100.30531
โรงงานพลาสติกอื่นๆ,มาเฮงกี่หย่งกัง,เป่าถุงพลาสติก,"เลขที่ - ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.62073, 100.25579
อื่นๆ,บริษัท เอ็น เค เพอร์นิคลาส จำกัด,ทำเฟอร์นิเจอร์เหล็ก,"เลขที่ ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.60481, 100.36992
โรงงานประกอบชิ้นส่วน,บริษัท ที.เอ็น.เอส.สวิทซ์บอร์ด (2018) จำกัด,ผลิตอุปกรณ์ไฟฟ้า เช่น สวิทซ์บอร์ด ตู้ควบคุม รางร้อยสายไฟ,"เลขที่ 89/30 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58222,100.33082
โรงงานพลาสติกอื่นๆ,ห้างหุ้นส่วนจำกัด ล้อบินไม้กรอบรูป,ผลิตพลาสติกเพื่อใช้เป็นกรอบรูปและทำภาชนะบรรจุ เช่น ถุงพลาสติก,"เลขที่ 63 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5826392, 100.3021222
อื่นๆ,บริษัท เจบี ออลล์ จำกัด,ผลิตและจำหน่ายกระเบื้องโมเสค,"เลขที่ 47/165 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5831039, 100.2367224
โรงงานอาหารและเครื่องดื่ม,ห้างหุ้นส่วนจำกัด เอส.ที.เงินเจริญ ฟู้ด,ทำเครื่องปรุงรสอาหาร เช่น ซอสซีอิ๊ว เต้าเจี้ยว,"เลขที่ 222/2 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5832209, 100.2078364
อื่นๆ,บริษัท วิท วอเตอร์ ซิสเต็ม ดีเวลลอปเม้นท์ จำกัด,ทำน้ำมันผสมสีทาบ้าน,"เลขที่ - ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58328333,100.2469167
โรงงานประกอบชิ้นส่วน,บริษัท อิทธิฤทธิ์ อิเลคตริค จำกัด,ประกอบหลอดไฟฟ้า LED และผลิตดวงโคมไฟฟ้า,"เลขที่ 81/18 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5835531, 100.3658008
อื่นๆ,บริษัท เอส.เค.โพลีเมอร์.จำกัด,การทำผลิตภัณฑ์ยาง จากยางธรรมชาติหรือยางสังเคราะห์,"เลขที่ 52/2 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5842952, 100.2525643
โรงงานห้องเย็นและชำแหละ,บริษัท นาสาครห้องเย็น จำกัด,ห้องเย็นรับฝากฟรีสและฝากแช่,"เลขที่ 44/1,44/4 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.584858, 100.2952099
โรงงานพลาสติกอื่นๆ,บริษัท รุ่งฟ้า เทรดดิ้ง จำกัด,ผลิตพลาสติกขึ้นรูปแบบต่าง ๆ,"เลขที่ 88/82 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.60630, 100.30689
โรงงานห้องเย็นและชำแหละ,บริษัท แปซิฟิค ห้องเย็น จำกัด,ห้องเย็นรับฝากสินค้า,"เลขที่ 47/49 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58482, 100.29119
อื่นๆ,บริษัท ปาปิโล่ ฟุตเเวร์ จำกัด,ผลิตรองเท้าจากยางพารา,"เลขที่ 61/16-17 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5850713, 100.2898989
อื่นๆ,ห้างหุ้นส่วนจำกัด พี.เอส.ที.มารีน,กลึงโลหะทั่วไป,"เลขที่ 48/86 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5858414, 100.3228477
อื่นๆ,บริษัท กิ้มกี่กิจเจริญ จำกัด,บีบน้ำมันจากเมล็ดพืช,"เลขที่ 41/1 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58623, 100.22791
โรงงานผลิตเม็ดพลาสติก,บริษัท ชวนไท่ เทรดดิ้ง จำกัด,ผลิตเม็ดพลาสติก,"เลขที่ 95/56 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5861,100.2549
โรงงานประกอบชิ้นส่วน,ฉัตรชัย โลหะกิจสงคราม,นาย,ผลิตชิ้นส่วนผลิตภัณฑ์โลหะต่าง ๆ,"เลขที่ 49 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58626667,100.22625
อื่นๆ,บริษัท ทีอาร์เอ็ม สเปเชียล ไพพ์ จำกัด,ผลิตท่อสเตนเลสรูปพรรณ,"เลขที่ 65/9 ตำบล หลักสาม อำเภอ บ้านแพ้ว สมุทรสาคร",13.5869573, 100.1072884
โรงงานรีไซเคิล,บริษัท บุญมั่นเจริญวัฒนา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,"เลขที่ 81/12 ตำบล อำแพง อำเภอ บ้านแพ้ว สมุทรสาคร",13.5870018, 100.1968089
โรงงานพลาสติกอื่นๆ,บริษัท อุตสาหกรรมไทย พี.วี.ซี จำกัด,ผลิตภัณฑ์พลาสติกเป็นท่อหรือรูปทรงต่าง ๆ,"เลขที่ 20/1 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5872161, 100.2800103
โรงงานพลาสติกอื่นๆ,บริษัท รอยัล เบบี้ โปรดักส์จำกัด,การทำของใช้จากพลาสติก เช่น ขวดนม จุกนม หัวนมยางสำหรับขวดนมหัวนมยางดูดเล่นยางกัดและพลาสติกรูปทรงต่างๆ,"เลขที่ โฉนดเลขที่ 143397 ตำบล บางกระเจ้า อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5874942, 100.3684832
อื่นๆ,บริษัท โอเอ็มพีโอ จำกัด,ผลิตสายไฟฟ้า,"เลขที่ 46/47 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5876682, 100.3121714
โรงงานประกอบชิ้นส่วน,ดุษฏีการช่าง,ปั๊มชิ้นส่วนโลหะ และ แม่พิมพ์โลหะ,"เลขที่ 33/18 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5878173, 100.3242768
โรงงานผลิตกระดาษ,บริษัท เอ.เอ็น.บี.บรรจุภัณฑ์ จำกัด,ผลิตกระดาษลูกฟูก และ กล่องกระดาษลูกฟูก,"เลขที่ 40/24 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61722, 100.31319
โรงงานพลาสติกอื่นๆ,บี.พี.เจ. เทรดดิ้ง,รับฉีดพลาสติกรูปทรงต่าง ๆ,"เลขที่ 34/16 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.60917, 100.32307
โรงงานพลาสติกอื่นๆ,ห้างหุ้นส่วนจำกัด เอส.ที.เค.พลาส แมชชีน,ทำผลิตภัณฑ์พลาสติก เช่น อุปกรณ์เฟอร์นิเจอร์,ใบพัดลม, ขาพัดลม, ถาดเพาะกล้า,ที่พักแขนเก้าอี้, แป้นตรายาง, แผงหน้ากากครอบสวิทซ์ไฟ ฯลฯ,"เลขที่ 52/8 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61290, 100.32809
อื่นๆ,โรงหล่อมานิตย์,หล่อและฉีดอลูมิเนียมและทองเหลือง,"เลขที่ ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.67162, 100.28697
อื่นๆ,ชลเจริญการช่าง,รับจ้างกลึงโลหะ,"เลขที่ 29/2 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61016, 100.31654
อื่นๆ,ธนพลการช่าง,กลึงโลหะ,"เลขที่ ตำบล บางน้ำจืด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.69093, 100.31816
อื่นๆ,ศักดิ์แสงไกลอลูมิเนียม,ตัด พับ ม้วนโลหะ กลึง เจาะ คว้าน ไส เจียร เชื่อมโลหะทั่วไป,"เลขที่ 46/24 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59957, 100.32250
อื่นๆ,อา วี แอนด์ ซันส์,ทำเครื่องใช้เล็ก ๆ จากโลหะ เช่น กระบี่, มีด, มีดดาบ เครื่องหมายเหล่าทัพ ฯลฯ,"เลขที่ 20/39 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.61947, 100.34516
โรงงานพลาสติกอื่นๆ,บริษัท ดี แอนด์ เอส แพคเกจจิ้ง จำกัด,ผลิตพลาสติกกันกระแทก,"เลขที่ 84/23 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5879344, 100.2354781
อื่นๆ,บริษัท เลคิเซ่ ไลท์ติ้ง จำกัด,ผลิตเครื่องแปลงระบบไฟฟ้ากระแสตรง เป็นกระแสสลับ สำหรับโซล่าเซลล์ออฟกริตออนกริตและไฮบริค เครื่องควบคุมการชาร์จประจุไฟฟ้า,แบตเตอรี่สำหรับระบบพลังงานแสงอาทิตย์,เครื่องควบคุมปั๊มน้ำบาดาลและปั๊มน้ำผิวดิน,"เลขที่ 29/11 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58841,100.312675
โรงงานพลาสติกอื่นๆ,บริษัท คิง ซัน พลาสติก (ประเทศไทย) จำกัด,ผลิตสายรัดพลาสติก PET,"เลขที่ 84/28 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5885204, 100.2343263
อื่นๆ,บริษัท รวมใจ โปรดักส์ จำกัด,ผลิตเครื่องสำอาง,"เลขที่ - ตำบล บางน้ำจืด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.58875, 100.36014
อื่นๆ,บริษัท ริเวอร์ไลฟ์ โปรดักส์ จำกัด,ผลิตชั้นเหล็กวางสินค้า,"เลขที่ 84/27 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5886192, 100.2339556
โรงงานผลิตกระดาษ,บริษัท ซีเอ็ม แพคเกจจิ้ง จำกัด,ผลิต และรับจ้างผลิตแผ่นกระดาษลูกฟูก กล่องกระดาษ,"เลขที่ 84/63 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5886324, 100.2332602
อื่นๆ,ห้างหุ้นส่วนจำกัด ที.เค.เอ็น.การช่าง,ทำแม่พิมพ์โลหะ และกลึงโลหะ,"เลขที่ 63/64 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5896555, 100.2662549
อื่นๆ,บริษัท กรุงไทย ออโต้พาร์ท จำกัด,ปั๊มโลหะและกลึง เจาะ คว้าน กัด ไส เจียน หรือเชื่อมโลหะทั่วไป,"เลขที่ 33/33 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5902268, 100.3072625
อื่นๆ,เจิ่นยาไทย,หล่อหลอมทองเหลืองและอลูมิเนียม,"เลขที่ ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5903163, 100.3076431
โรงงานพลาสติกอื่นๆ,บริษัท เพอร์เฟค แพคเกจจิ้ง จำกัด,เคลือบและพิมพ์ภาชนะบรรจุภัณฑ์พลาสติก เช่น ถุงพลาสติก และซองพลาสติก,"เลขที่ 20/226 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59115,100.71936
โรงงานอาหารและเครื่องดื่ม,บริษัท เอ็ม เอ็ม พี อินเตอร์เนชั่นแนล จำกัด,อาหารทะเลบรรจุกระป๋อง,"เลขที่ 77/1 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5914702, 100.2777324
โรงงานทอผ้า,บริษัท คาบาลโล จำกัด,ตัดเย็บเสื้อผ้าสำเร็จรูป, ทอผ้า,"เลขที่ 29/22 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.62455, 100.40061
อื่นๆ,บริษัท อุ่นกวง จำกัด,ผลิตสกรูและน๊อต,"เลขที่ 99 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59077, 100.30931
โรงงานอาหารและเครื่องดื่ม,บริษัท ยู.เอส.ที.สำเภาทอง จำกัด,ผลิตอาหารสำเร็จรูปและกึ่งสำเร็จรูปจากเนื้อสัตว์,"เลขที่ 65/88-89 ตำบล โคกขาม อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5915046, 100.3198619
อื่นๆ,บริษัท เอ็ม คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,"เลขที่ โฉนดที่ดินเลขที่ 9272 ตำบล บางน้ำจืด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5916844, 100.3509261
โรงงานผลิตเม็ดพลาสติก,บริษัท ไก่ทอง พลาสติก จำกัด,ผลิตถุงและเม็ดพลาสติก,"เลขที่ 62/43 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.591893,100.29109
อื่นๆ,บริษัท ทรีนีตี้ อลูมิเนียม จำกัด,หล่อหลอม ทองเหลือง ทองแดง และอลูมิเนียม,"เลขที่ 99/19 ตำบล บางน้ำจืด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5920356, 100.3179041
อื่นๆ,บริษัท วีต้า เคมีคอล จำกัด,ผลิตภัณพ์สำหรับชำระล้าง เช่น น้ำยาทำความสะอาดเอนกประสงค์,"เลขที่ 29/9 ตำบล บ้านเกาะ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5921233, 100.2310479
อื่นๆ,บริษัท ธนกร เมตัลเวอร์คโปรดิวเซอร์ จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้วมาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อผลิตเป็นเชื้อเพลิงทดแทน,"เลขที่ 116/1 ตำบล พันท้ายนรสิงห์ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59213333,100.35465
อื่นๆ,สยามยูนิตี้อินดัสทรีส์,ผลิตสายไฟฟ้า เช่น สายไฟฟ้ารถยนต์และสายลำโพงวิทยุ,"เลขที่ - ตำบล บางน้ำจืด อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.59223,100.36839
อื่นๆ,บริษัท ดีดี พลัส รับเบอร์ จำกัด,ทำผลิตภัณฑ์จากยาง,"เลขที่ 4/5 ตำบล คอกกระบือ อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5923716, 100.3196608
โรงงานพลาสติกอื่นๆ,บริษัท ที.เอส.ไดคาสติ้ง โปรดักส์ จำกัด,ทำผลิตภัณฑ์พลาสติกทั่วไป และผลิตภัณฑ์พลาสติกสำหรับเครื่องใช้ไฟฟ้า และทำแม่พิมพ์โลหะ,"เลขที่ 7/4 ตำบล ท่าทราย อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.5924092, 100.2985014
โรงงานพลาสติกอื่นๆ,ห้างหุ้นส่วนจำกัด โชควันดีพลาสติก,บดย่อยพลาสติก,"เลขที่ 25/28 ตำบล นาดี อำเภอ เมืองสมุทรสาคร สมุทรสาคร",13.592436,100.301826
